x,y
0,4
0.1,4
0.2,4
0.3,4
0.4,4
0.5,4
0.6,4
0.7,4
0.8,4
0.9,4
1,4
1.1,4
1.2,4
1.3,4
1.4,4
1.5,4
1.6,4
1.7,4
1.8,4
1.9,4
2,4
2.1,4
2.2,4
2.3,4
2.4,4
2.5,4
2.6,4
2.7,4
2.8,4
2.9,4
3,4
3.1,4
3.2,4
3.3,4
3.4,4
3.5,4
3.6,4
3.7,4
3.8,4
3.9,4
4,4
4.1,4
4.2,4
4.3,4
4.4,4
4.5,4
4.6,4
4.7,4
4.8,4
4.9,4
5,4
5.1,4
5.2,4
5.3,4
5.4,4
5.5,4
5.6,4
5.7,4
5.8,4
5.9,4
6,4
6.1,4
6.2,4
6.3,4
6.4,4
6.5,4
6.6,4
6.7,4
6.8,4
6.9,4
7,4
7.1,4
7.2,4
7.3,4
7.4,4
7.5,4
7.6,4
7.7,4
7.8,4
7.9,4
8,4
8.1,4
8.2,4
8.3,4
8.4,4
8.5,4
8.6,4
8.7,4
8.8,4
8.9,4
9,4
9.1,4
9.2,4
9.3,4
9.4,4
9.5,4
9.6,4
9.7,4
9.8,4
9.9,4
10,4
10.1,4
10.2,4
10.3,4
10.4,4
10.5,4
10.6,4
10.7,4
10.8,4
10.9,4
11,4
11.1,4
11.2,4
11.3,4
11.4,4
11.5,4
11.6,4
11.7,4
11.8,4
11.9,4
12,4
12.1,4
12.2,4
12.3,4
12.4,4
12.5,4
12.6,4
12.7,4
12.8,4
12.9,4
13,4
13.1,4
13.2,4
13.3,4
13.4,4
13.5,4
13.6,4
13.7,4
13.8,4
13.9,4
14,4
14.1,4
14.2,4
14.3,4
14.4,4
14.5,4
14.6,4
14.7,4
14.8,4
14.9,4
15,4
15.1,4
15.2,4
15.3,4
15.4,4
15.5,4
15.6,4
15.7,4
15.8,4
15.9,4
16,4
16.1,4
16.2,4
16.3,4
16.4,4
16.5,4
16.6,4
16.7,4
16.8,4
16.9,4
17,4
17.1,4
17.2,4
17.3,4
17.4,4
17.5,4
17.6,4
17.7,4
17.8,4
17.9,4
18,4
18.1,4
18.2,4
18.3,4
18.4,4
18.5,4
18.6,4
18.7,4
18.8,4
18.9,4
19,4
19.1,4
19.2,4
19.3,4
19.4,4
19.5,4
19.6,4
19.7,4
19.8,4
19.9,4
20,4
20.1,4
20.2,4
20.3,4
20.4,4
20.5,4
20.6,4
20.7,4
20.8,4
20.9,4
21,4
21.1,4
21.2,4
21.3,4
21.4,4
21.5,4
21.6,4
21.7,4
21.8,4
21.9,4
22,4
22.1,4
22.2,4
22.3,4
22.4,4
22.5,4
22.6,4
22.7,4
22.8,4
22.9,4
23,4
23.1,4
23.2,4
23.3,4
23.4,4
23.5,4
23.6,4
23.7,4
23.8,4
23.9,4
24,4
24.1,4
24.2,4
24.3,4
24.4,4
24.5,4
24.6,4
24.7,4
24.8,4
24.9,4
25,4
25.1,4
25.2,4
25.3,4
25.4,4
25.5,4
25.6,4
25.7,4
25.8,4
25.9,4
26,4
26.1,4
26.2,4
26.3,4
26.4,4
26.5,4
26.6,4
26.7,4
26.8,4
26.9,4
27,4
27.1,4
27.2,4
27.3,4
27.4,4
27.5,4
27.6,4
27.7,4
27.8,4
27.9,4
28,4
28.1,4
28.2,4
28.3,4
28.4,4
28.5,4
28.6,4
28.7,4
28.8,4
28.9,4
29,4
29.1,4
29.2,4
29.3,4
29.4,4
29.5,4
29.6,4
29.7,4
29.8,4
29.9,4
30,4
30,4.1
30,4.2
30,4.3
30,4.4
30,4.5
30,4.6
30,4.7
30,4.8
30,4.9
30,5
30,5.1
30,5.2
30,5.3
30,5.4
30,5.5
30,5.6
30,5.7
30,5.8
30,5.9
30,6
30,6.1
30,6.2
30,6.3
30,6.4
30,6.5
30,6.6
30,6.7
30,6.8
30,6.9
30,7
30,7.1
30,7.2
30,7.3
30,7.4
30,7.5
30,7.6
30,7.7
30,7.8
30,7.9
30,8
30,8.1
30,8.2
30,8.3
30,8.4
30,8.5
30,8.6
30,8.7
30,8.8
30,8.9
30,9
30,9.1
30,9.2
30,9.3
30,9.4
30,9.5
30,9.6
30,9.7
30,9.8
30,9.9
30,10
30,10.1
30,10.2
30,10.3
30,10.4
30,10.5
30,10.6
30,10.7
30,10.8
30,10.9
30,11
30,11.1
30,11.2
30,11.3
30,11.4
30,11.5
30,11.6
30,11.7
30,11.8
30,11.9
30,12
30,12.1
30,12.2
30,12.3
30,12.4
30,12.5
30,12.6
30,12.7
30,12.8
30,12.9
30,13
30,13.1
30,13.2
30,13.3
30,13.4
30,13.5
30,13.6
30,13.7
30,13.8
30,13.9
30,14
38,14
38,13.9
38,13.8
38,13.7
38,13.6
38,13.5
38,13.4
38,13.3
38,13.2
38,13.1
38,13
38,12.9
38,12.8
38,12.7
38,12.6
38,12.5
38,12.4
38,12.3
38,12.2
38,12.1
38,12
38,11.9
38,11.8
38,11.7
38,11.6
38,11.5
38,11.4
38,11.3
38,11.2
38,11.1
38,11
38,10.9
38,10.8
38,10.7
38,10.6
38,10.5
38,10.4
38,10.3
38,10.2
38,10.1
38,10
38,9.9
38,9.8
38,9.7
38,9.6
38,9.5
38,9.4
38,9.3
38,9.2
38,9.1
38,9
38,8.9
38,8.8
38,8.7
38,8.6
38,8.5
38,8.4
38,8.3
38,8.2
38,8.1
38,8
38,7.9
38,7.8
38,7.7
38,7.6
38,7.5
38,7.4
38,7.3
38,7.2
38,7.1
38,7
38,6.9
38,6.8
38,6.7
38,6.6
38,6.5
38,6.4
38,6.3
38,6.2
38,6.1
38,6
38,5.9
38,5.8
38,5.7
38,5.6
38,5.5
38,5.4
38,5.3
38,5.2
38,5.1
38,5
38,4.9
38,4.8
38,4.7
38,4.6
38,4.5
38,4.4
38,4.3
38,4.2
38,4.1
38,4
38.1,4
38.2,4
38.3,4
38.4,4
38.5,4
38.6,4
38.7,4
38.8,4
38.9,4
39,4
39.1,4
39.2,4
39.3,4
39.4,4
39.5,4
39.6,4
39.7,4
39.8,4
39.9,4
40,4
40.1,4
40.2,4
40.3,4
40.4,4
40.5,4
40.6,4
40.7,4
40.8,4
40.9,4
41,4
41.1,4
41.2,4
41.3,4
41.4,4
41.5,4
41.6,4
41.7,4
41.8,4
41.9,4
42,4
42.1,4
42.2,4
42.3,4
42.4,4
42.5,4
42.6,4
42.7,4
42.8,4
42.9,4
43,4
43.1,4
43.2,4
43.3,4
43.4,4
43.5,4
43.6,4
43.7,4
43.8,4
43.9,4
44,4
44.1,4
44.2,4
44.3,4
44.4,4
44.5,4
44.6,4
44.7,4
44.8,4
44.9,4
45,4
45.1,4
45.2,4
45.3,4
45.4,4
45.5,4
45.6,4
45.7,4
45.8,4
45.9,4
46,4
46.1,4
46.2,4
46.3,4
46.4,4
46.5,4
46.6,4
46.7,4
46.8,4
46.9,4
47,4
47.1,4
47.2,4
47.3,4
47.4,4
47.5,4
47.6,4
47.7,4
47.8,4
47.9,4
48,4
48.1,4
48.2,4
48.3,4
48.4,4
48.5,4
48.6,4
48.7,4
48.8,4
48.9,4
49,4
49.1,4
49.2,4
49.3,4
49.4,4
49.5,4
49.6,4
49.7,4
49.8,4
49.9,4
50,4
50.1,4
50.2,4
50.3,4
50.4,4
50.5,4
50.6,4
50.7,4
50.8,4
50.9,4
51,4
51.1,4
51.2,4
51.3,4
51.4,4
51.5,4
51.6,4
51.7,4
51.8,4
51.9,4
52,4
52.1,4
52.2,4
52.3,4
52.4,4
52.5,4
52.6,4
52.7,4
52.8,4
52.9,4
53,4
53.1,4
53.2,4
53.3,4
53.4,4
53.5,4
53.6,4
